Symbol,Settings,Date,Open,High,Low,Close,Volume
HXQ,Ex:TSE | Src:Google,2024-03-22,70.950,71.400,70.840,71.300,11191
HXQ,Ex:TSE | Src:Google,2024-03-25,70.730,71.130,70.660,70.920,9358
HXQ,Ex:TSE | Src:Google,2024-03-26,71.000,71.130,70.720,70.720,5778
HXQ,Ex:TSE | Src:Google,2024-03-27,71.280,71.280,70.500,70.790,9539
HXQ,Ex:TSE | Src:Google,2024-03-28,70.840,70.840,70.530,70.610,2814
HXQ,Ex:TSE | Src:Google,2024-04-01,70.800,71.110,70.670,70.920,12958
HXQ,Ex:TSE | Src:Google,2024-04-02,70.100,70.280,69.830,70.250,15549
HXQ,Ex:TSE | Src:Google,2024-04-03,69.950,70.410,69.950,70.200,11483
HXQ,Ex:TSE | Src:Google,2024-04-04,70.660,70.710,69.220,69.220,17505
HXQ,Ex:TSE | Src:Google,2024-04-05,69.860,70.550,69.800,70.290,19269
HXQ,Ex:TSE | Src:Google,2024-04-08,70.350,70.510,70.000,70.200,12461
HXQ,Ex:TSE | Src:Google,2024-04-09,70.500,70.500,69.800,70.330,12408
HXQ,Ex:TSE | Src:Google,2024-04-10,70.000,70.440,70.000,70.350,8050
HXQ,Ex:TSE | Src:Google,2024-04-11,70.610,71.610,70.470,71.590,13167
HXQ,Ex:TSE | Src:Google,2024-04-12,71.250,71.330,70.700,70.840,20888
HXQ,Ex:TSE | Src:Google,2024-04-15,71.290,71.290,69.660,69.730,19369
HXQ,Ex:TSE | Src:Google,2024-04-16,69.860,70.210,69.830,70.040,7631
HXQ,Ex:TSE | Src:Google,2024-04-17,70.120,70.120,68.800,68.820,18521
HXQ,Ex:TSE | Src:Google,2024-04-18,68.820,68.980,68.350,68.400,24855
HXQ,Ex:TSE | Src:Google,2024-04-19,68.130,68.130,66.710,66.910,38078
HXQ,Ex:TSE | Src:Google,2024-04-22,67.260,67.550,66.740,67.320,20845
HXQ,Ex:TSE | Src:Google,2024-04-23,67.670,68.300,67.670,68.160,11512
HXQ,Ex:TSE | Src:Google,2024-04-24,68.860,69.000,68.390,68.590,13855
HXQ,Ex:TSE | Src:Google,2024-04-25,67.490,68.130,67.450,68.010,12873
HXQ,Ex:TSE | Src:Google,2024-04-26,68.580,69.380,68.580,69.170,5398
HXQ,Ex:TSE | Src:Google,2024-04-29,69.340,69.500,69.060,69.400,22410
HXQ,Ex:TSE | Src:Google,2024-04-30,69.470,69.710,68.610,68.610,13155
HXQ,Ex:TSE | Src:Google,2024-05-01,68.610,69.100,68.000,68.060,6963
HXQ,Ex:TSE | Src:Google,2024-05-02,68.440,68.610,67.880,68.420,9958
HXQ,Ex:TSE | Src:Google,2024-05-03,69.500,70.000,69.500,69.860,5322
HXQ,Ex:TSE | Src:Google,2024-05-06,70.110,70.600,70.110,70.600,9869
HXQ,Ex:TSE | Src:Google,2024-05-07,70.750,71.120,70.700,70.940,20942
HXQ,Ex:TSE | Src:Google,2024-05-08,70.570,71.000,70.570,70.950,4646
HXQ,Ex:TSE | Src:Google,2024-05-09,70.890,70.890,70.570,70.700,13837
HXQ,Ex:TSE | Src:Google,2024-05-10,70.850,71.000,70.690,70.900,3507
HXQ,Ex:TSE | Src:Google,2024-05-13,71.220,71.220,70.870,71.080,32506
HXQ,Ex:TSE | Src:Google,2024-05-14,70.900,71.470,70.850,71.460,47645
HXQ,Ex:TSE | Src:Google,2024-05-15,71.640,72.310,71.640,72.290,12293
HXQ,Ex:TSE | Src:Google,2024-05-16,72.370,72.600,72.170,72.170,14005
HXQ,Ex:TSE | Src:Google,2024-05-17,72.190,72.260,71.850,72.100,20392
HXQ,Ex:TSE | Src:Google,2024-05-21,72.530,72.990,72.530,72.970,25950
HXQ,Ex:TSE | Src:Google,2024-05-22,73.090,73.250,72.820,73.130,19465
HXQ,Ex:TSE | Src:Google,2024-05-23,73.770,73.780,72.890,73.070,18475
HXQ,Ex:TSE | Src:Google,2024-05-24,73.190,73.510,73.130,73.380,13481
HXQ,Ex:TSE | Src:Google,2024-05-27,73.440,73.660,73.400,73.560,7450
HXQ,Ex:TSE | Src:Google,2024-05-28,73.380,73.550,73.270,73.550,8819
HXQ,Ex:TSE | Src:Google,2024-05-29,73.160,73.640,73.160,73.410,19925
HXQ,Ex:TSE | Src:Google,2024-05-30,73.190,73.190,72.420,72.580,10118
HXQ,Ex:TSE | Src:Google,2024-05-31,72.280,72.280,70.980,72.050,18294
HXQ,Ex:TSE | Src:Google,2024-06-03,72.690,72.730,71.800,72.410,12535
HXQ,Ex:TSE | Src:Google,2024-06-04,72.610,73.050,72.470,72.890,15515
HXQ,Ex:TSE | Src:Google,2024-06-05,73.430,74.430,73.430,74.430,65728
HXQ,Ex:TSE | Src:Google,2024-06-06,74.590,74.590,74.230,74.300,8791
HXQ,Ex:TSE | Src:Google,2024-06-07,74.430,75.000,74.370,74.710,24545
HXQ,Ex:TSE | Src:Google,2024-06-10,74.660,75.050,74.650,75.000,23261
HXQ,Ex:TSE | Src:Google,2024-06-11,74.860,75.520,74.750,75.520,17130
HXQ,Ex:TSE | Src:Google,2024-06-12,75.750,76.660,75.750,76.370,10444
HXQ,Ex:TSE | Src:Google,2024-06-13,76.890,77.040,76.600,76.840,18918
HXQ,Ex:TSE | Src:Google,2024-06-14,76.950,77.220,76.850,77.190,15954
HXQ,Ex:TSE | Src:Google,2024-06-17,77.360,78.330,77.140,78.030,24431
HXQ,Ex:TSE | Src:Google,2024-06-18,78.120,78.160,77.920,78.010,21387
HXQ,Ex:TSE | Src:Google,2024-06-19,78.990,78.990,77.940,78.100,16697
HXQ,Ex:TSE | Src:Google,2024-06-20,78.120,78.120,77.080,77.260,71993
HXQ,Ex:TSE | Src:Google,2024-06-21,77.140,77.480,77.000,77.160,67339
HXQ,Ex:TSE | Src:Google,2024-06-24,76.830,76.980,76.040,76.040,16914
HXQ,Ex:TSE | Src:Google,2024-06-25,76.320,76.920,76.320,76.820,15443
HXQ,Ex:TSE | Src:Google,2024-06-26,76.950,77.380,76.950,77.360,7131
HXQ,Ex:TSE | Src:Google,2024-06-27,77.210,77.610,77.190,77.380,26278
HXQ,Ex:TSE | Src:Google,2024-06-28,77.570,78.340,76.970,76.970,13588
HXQ,Ex:TSE | Src:Google,2024-07-02,77.400,78.180,77.400,78.180,12245
HXQ,Ex:TSE | Src:Google,2024-07-03,78.000,79.410,78.000,79.410,13184
