Symbol,Settings,Date,Open,High,Low,Close,Volume
HND,Ex:TSE | Src:Google,2024-05-15,77.780,79.010,73.250,74.000,334311
HND,Ex:TSE | Src:Google,2024-05-16,71.230,72.880,66.780,70.630,436269
HND,Ex:TSE | Src:Google,2024-05-17,67.920,68.090,64.170,64.800,463051
HND,Ex:TSE | Src:Google,2024-05-21,61.690,64.420,59.410,62.350,356081
HND,Ex:TSE | Src:Google,2024-05-22,61.420,62.210,53.070,54.900,681734
HND,Ex:TSE | Src:Google,2024-05-23,50.550,59.000,49.590,57.080,928177
HND,Ex:TSE | Src:Google,2024-05-24,59.990,64.050,59.990,63.500,459903
HND,Ex:TSE | Src:Google,2024-05-27,61.440,62.690,60.050,62.350,193779
HND,Ex:TSE | Src:Google,2024-05-28,64.000,65.000,60.480,61.110,286149
HND,Ex:TSE | Src:Google,2024-05-29,64.140,68.680,64.140,68.540,340664
HND,Ex:TSE | Src:Google,2024-05-30,71.610,73.650,70.090,73.500,322798
HND,Ex:TSE | Src:Google,2024-05-31,72.240,74.910,70.400,73.150,167669
HND,Ex:TSE | Src:Google,2024-06-03,64.220,69.910,62.000,62.350,390982
HND,Ex:TSE | Src:Google,2024-06-04,64.240,71.000,63.060,67.950,294447
HND,Ex:TSE | Src:Google,2024-06-05,66.450,67.000,59.940,60.780,558122
HND,Ex:TSE | Src:Google,2024-06-06,57.380,62.000,55.990,58.540,635971
HND,Ex:TSE | Src:Google,2024-06-07,57.530,58.180,52.350,53.200,679885
HND,Ex:TSE | Src:Google,2024-06-10,49.630,56.300,48.340,53.470,801106
HND,Ex:TSE | Src:Google,2024-06-11,50.250,51.500,46.320,46.400,845909
HND,Ex:TSE | Src:Google,2024-06-12,48.380,50.230,46.960,49.110,626718
HND,Ex:TSE | Src:Google,2024-06-13,50.090,53.290,49.650,52.470,486311
HND,Ex:TSE | Src:Google,2024-06-14,52.270,54.420,51.250,53.600,353209
HND,Ex:TSE | Src:Google,2024-06-17,56.560,58.600,56.300,57.470,303671
HND,Ex:TSE | Src:Google,2024-06-18,57.020,57.020,52.370,52.780,340854
HND,Ex:TSE | Src:Google,2024-06-19,53.750,54.250,52.390,52.660,121062
HND,Ex:TSE | Src:Google,2024-06-20,55.380,58.050,55.240,57.530,402818
HND,Ex:TSE | Src:Google,2024-06-21,57.000,58.450,55.970,57.920,269935
HND,Ex:TSE | Src:Google,2024-06-24,58.040,58.270,53.370,53.500,317160
HND,Ex:TSE | Src:Google,2024-06-25,56.220,57.850,54.660,57.580,388869
HND,Ex:TSE | Src:Google,2024-06-26,58.780,61.750,58.700,61.620,364946
HND,Ex:TSE | Src:Google,2024-06-27,62.700,64.350,60.500,63.680,326421
HND,Ex:TSE | Src:Google,2024-06-28,64.200,68.250,63.740,67.660,319332
HND,Ex:TSE | Src:Google,2024-07-02,75.750,77.610,75.240,75.420,190537
HND,Ex:TSE | Src:Google,2024-07-03,76.940,78.210,74.000,77.700,186197
HND,Ex:TSE | Src:Google,2024-07-04,80.180,82.950,80.000,80.040,91323
HND,Ex:TSE | Src:Google,2024-07-05,79.920,84.210,78.620,83.300,190961
HND,Ex:TSE | Src:Google,2024-07-08,80.700,82.280,79.320,80.300,147045
HND,Ex:TSE | Src:Google,2024-07-09,77.320,82.430,77.000,81.700,136320
HND,Ex:TSE | Src:Google,2024-07-10,82.600,85.510,81.730,83.990,149841
HND,Ex:TSE | Src:Google,2024-07-11,85.680,87.920,85.100,87.450,145245
HND,Ex:TSE | Src:Google,2024-07-12,88.000,88.030,81.890,84.710,155003
HND,Ex:TSE | Src:Google,2024-07-15,91.170,95.400,89.000,94.430,206621
HND,Ex:TSE | Src:Google,2024-07-16,92.590,94.420,90.010,93.080,131482
HND,Ex:TSE | Src:Google,2024-07-17,97.480,105.100,97.420,103.350,186924
HND,Ex:TSE | Src:Google,2024-07-18,100.550,100.550,93.800,96.640,123572
HND,Ex:TSE | Src:Google,2024-07-19,97.480,98.890,93.160,94.570,123093
HND,Ex:TSE | Src:Google,2024-07-22,88.340,88.440,82.500,84.700,177068
HND,Ex:TSE | Src:Google,2024-07-23,86.330,89.090,85.500,86.380,154445
HND,Ex:TSE | Src:Google,2024-07-24,93.000,93.990,90.000,93.000,139506
HND,Ex:TSE | Src:Google,2024-07-25,96.720,101.600,94.990,100.410,179811
HND,Ex:TSE | Src:Google,2024-07-26,101.450,104.050,99.720,103.740,145286
HND,Ex:TSE | Src:Google,2024-07-29,104.080,108.190,101.340,102.740,168257
HND,Ex:TSE | Src:Google,2024-07-30,108.100,108.330,94.390,96.100,176765
HND,Ex:TSE | Src:Google,2024-07-31,101.200,104.500,98.900,102.320,252366
HND,Ex:TSE | Src:Google,2024-08-01,95.670,110.490,94.470,108.960,234787
HND,Ex:TSE | Src:Google,2024-08-02,105.780,115.600,104.400,109.700,164912
HND,Ex:TSE | Src:Google,2024-08-06,105.910,111.170,103.250,105.260,155404
HND,Ex:TSE | Src:Google,2024-08-07,98.350,100.650,94.360,96.500,173071
HND,Ex:TSE | Src:Google,2024-08-08,100.190,102.100,88.710,91.800,232770
HND,Ex:TSE | Src:Google,2024-08-09,91.660,95.120,90.000,90.460,121615
HND,Ex:TSE | Src:Google,2024-08-12,86.480,90.890,85.220,88.780,93608
HND,Ex:TSE | Src:Google,2024-08-13,85.980,93.260,85.520,91.280,113134
HND,Ex:TSE | Src:Google,2024-08-14,86.330,88.300,83.000,86.560,266389
HND,Ex:TSE | Src:Google,2024-08-15,86.460,88.560,81.500,88.120,225248
HND,Ex:TSE | Src:Google,2024-08-16,91.180,95.250,90.220,94.600,116134
HND,Ex:TSE | Src:Google,2024-08-19,88.840,88.840,84.010,85.880,244850
HND,Ex:TSE | Src:Google,2024-08-20,87.690,89.100,86.300,86.680,156615
HND,Ex:TSE | Src:Google,2024-08-21,87.080,91.420,86.000,87.460,135614
HND,Ex:TSE | Src:Google,2024-08-22,92.830,99.500,92.200,96.840,145666
HND,Ex:TSE | Src:Google,2024-08-23,100.540,100.590,97.820,98.060,63195
HND,Ex:TSE | Src:Google,2024-08-26,100.790,104.610,98.400,103.770,83415
HND,Ex:TSE | Src:Google,2024-08-27,106.410,111.200,106.410,107.500,96965
HND,Ex:TSE | Src:Google,2024-08-28,111.110,112.640,102.200,105.350,133729
HND,Ex:TSE | Src:Google,2024-08-29,112.920,113.260,101.340,101.890,168625
HND,Ex:TSE | Src:Google,2024-08-30,103.120,106.360,100.700,102.760,123459
HND,Ex:TSE | Src:Google,2024-09-03,105.340,108.190,93.960,94.850,205675
HND,Ex:TSE | Src:Google,2024-09-04,93.080,102.000,92.650,100.920,116661
