Symbol,Settings,Date,Open,High,Low,Close,Volume
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-16,26.210,27.020,26.050,27.010,29939
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-17,27.090,27.600,26.200,26.320,50486
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-20,26.320,26.320,26.320,26.320,
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-21,26.320,26.320,26.320,26.320,
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-22,25.180,25.700,24.770,25.350,40553
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-23,25.510,26.500,25.510,25.600,37048
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-24,25.090,25.110,24.590,24.650,33867
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-27,25.250,25.950,25.150,25.400,42165
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-28,25.230,25.420,24.750,24.800,39655
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-29,24.670,24.960,23.940,24.460,39138
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-30,23.640,23.640,22.140,22.220,162169
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-31,22.080,22.800,21.680,22.690,76363
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-03,22.280,22.280,20.950,21.880,86005
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-04,21.650,22.300,21.640,21.980,79448
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-05,21.430,21.440,20.350,20.700,149305
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-06,20.770,21.150,20.770,20.780,56461
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-07,20.450,21.080,20.300,21.030,74424
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-10,20.110,20.250,19.690,20.060,116149
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-11,20.700,20.830,20.220,20.830,72414
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-12,21.030,21.030,19.540,19.870,111155
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-13,19.870,20.310,19.870,20.010,73522
