Symbol,Settings,Date,Open,High,Low,Close,Volume
QQC-F,Ex:TSE | Src:Google,2023-11-27,128.200,128.500,127.960,127.960,6545
QQC-F,Ex:TSE | Src:Google,2023-11-28,127.550,128.310,127.550,128.310,7910
QQC-F,Ex:TSE | Src:Google,2023-11-29,129.000,129.500,128.110,128.110,3577
QQC-F,Ex:TSE | Src:Google,2023-11-30,128.370,128.370,126.990,127.110,5964
QQC-F,Ex:TSE | Src:Google,2023-12-01,127.180,128.190,127.160,128.170,7792
QQC-F,Ex:TSE | Src:Google,2023-12-04,126.750,126.950,125.870,126.950,4624
QQC-F,Ex:TSE | Src:Google,2023-12-05,126.160,127.330,126.160,127.160,2933
QQC-F,Ex:TSE | Src:Google,2023-12-06,128.070,128.170,126.450,126.450,7557
QQC-F,Ex:TSE | Src:Google,2023-12-07,127.390,128.500,127.390,128.410,5887
QQC-F,Ex:TSE | Src:Google,2023-12-08,127.800,128.990,127.800,128.870,6859
QQC-F,Ex:TSE | Src:Google,2023-12-11,128.980,130.000,128.810,129.960,7467
QQC-F,Ex:TSE | Src:Google,2023-12-12,130.280,131.000,130.210,131.000,4428
QQC-F,Ex:TSE | Src:Google,2023-12-13,131.180,132.840,131.180,132.640,12008
QQC-F,Ex:TSE | Src:Google,2023-12-14,132.900,133.150,132.010,132.070,3559
QQC-F,Ex:TSE | Src:Google,2023-12-15,132.790,133.390,132.790,133.040,6844
QQC-F,Ex:TSE | Src:Google,2023-12-18,133.300,134.160,133.300,134.050,7074
QQC-F,Ex:TSE | Src:Google,2023-12-19,134.290,134.590,134.290,134.530,4058
QQC-F,Ex:TSE | Src:Google,2023-12-20,134.210,134.900,132.900,132.900,12552
QQC-F,Ex:TSE | Src:Google,2023-12-21,133.650,134.180,133.400,134.180,7661
QQC-F,Ex:TSE | Src:Google,2023-12-22,134.570,134.590,134.040,134.230,3769
QQC-F,Ex:TSE | Src:Google,2023-12-27,135.010,135.010,134.650,134.790,9299
QQC-F,Ex:TSE | Src:Google,2023-12-28,135.220,135.220,134.950,134.950,2975
QQC-F,Ex:TSE | Src:Google,2023-12-29,134.400,134.960,134.000,134.450,3587
QQC-F,Ex:TSE | Src:Google,2024-01-02,133.240,133.240,131.380,132.060,10611
QQC-F,Ex:TSE | Src:Google,2024-01-03,131.290,131.290,130.540,130.600,5079
QQC-F,Ex:TSE | Src:Google,2024-01-04,129.850,130.790,129.850,129.900,6348
QQC-F,Ex:TSE | Src:Google,2024-01-05,130.330,130.360,129.650,130.110,5931
QQC-F,Ex:TSE | Src:Google,2024-01-08,130.620,132.830,130.500,132.790,7200
QQC-F,Ex:TSE | Src:Google,2024-01-09,131.930,133.280,131.790,133.100,5639
QQC-F,Ex:TSE | Src:Google,2024-01-10,133.010,134.270,133.010,134.060,8082
QQC-F,Ex:TSE | Src:Google,2024-01-11,134.250,134.250,133.050,134.150,3748
QQC-F,Ex:TSE | Src:Google,2024-01-12,134.750,134.750,134.090,134.090,3528
QQC-F,Ex:TSE | Src:Google,2024-01-15,134.090,134.500,133.830,133.850,2094
