Symbol,Settings,Date,Open,High,Low,Close,Volume
VFV,Ex:TSE | Src:Google,2021-05-31,90.360,90.460,90.150,90.150,69519
VFV,Ex:TSE | Src:Google,2021-06-01,90.400,90.480,89.750,90.140,120426
VFV,Ex:TSE | Src:Google,2021-06-02,90.360,90.390,89.880,90.020,117345
VFV,Ex:TSE | Src:Google,2021-06-03,90.010,90.500,89.750,90.230,82539
VFV,Ex:TSE | Src:Google,2021-06-04,90.570,90.890,90.470,90.840,67146
VFV,Ex:TSE | Src:Google,2021-06-07,90.980,90.980,90.440,90.810,96475
VFV,Ex:TSE | Src:Google,2021-06-08,90.980,91.130,90.500,91.070,102384
VFV,Ex:TSE | Src:Google,2021-06-09,90.890,91.190,90.720,90.910,84553
VFV,Ex:TSE | Src:Google,2021-06-10,91.110,91.400,90.850,91.200,98274
VFV,Ex:TSE | Src:Google,2021-06-11,91.500,91.830,91.390,91.830,102844
VFV,Ex:TSE | Src:Google,2021-06-14,91.800,91.850,91.400,91.850,98089
VFV,Ex:TSE | Src:Google,2021-06-15,92.050,92.220,91.890,92.040,99108
VFV,Ex:TSE | Src:Google,2021-06-16,92.190,92.300,91.300,92.100,185441
VFV,Ex:TSE | Src:Google,2021-06-17,92.390,93.020,92.250,92.820,171450
VFV,Ex:TSE | Src:Google,2021-06-18,92.300,92.710,92.100,92.100,164371
VFV,Ex:TSE | Src:Google,2021-06-21,92.460,92.930,92.100,92.890,73548
VFV,Ex:TSE | Src:Google,2021-06-22,92.990,93.310,92.900,93.010,79145
VFV,Ex:TSE | Src:Google,2021-06-23,92.860,93.100,92.640,92.890,87630
VFV,Ex:TSE | Src:Google,2021-06-24,93.270,93.660,93.270,93.520,77008
VFV,Ex:TSE | Src:Google,2021-06-25,93.570,93.800,93.320,93.650,71297
VFV,Ex:TSE | Src:Google,2021-06-28,94.030,94.230,93.830,94.220,137023
VFV,Ex:TSE | Src:Google,2021-06-29,94.210,94.510,94.190,94.330,89178
VFV,Ex:TSE | Src:Google,2021-06-30,94.260,94.620,94.130,94.550,105154
