Symbol,Settings,Date,Open,High,Low,Close,Volume
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-07,23.160,23.300,22.750,22.780,63606
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-08,22.940,23.100,22.670,22.800,16885
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-09,22.810,22.830,22.710,22.760,4057
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-10,22.070,22.460,21.590,22.260,28778
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-13,22.140,23.190,21.500,23.040,95902
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-14,23.290,23.490,23.010,23.010,35126
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-15,22.840,23.020,22.640,22.920,40822
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-16,23.350,23.940,23.180,23.810,46564
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-17,23.880,23.900,23.240,23.240,10374
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-20,23.240,23.240,23.240,23.240,
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-21,23.240,23.240,23.240,23.240,
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-22,22.850,22.980,22.350,22.960,16441
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-23,22.870,23.320,22.390,23.310,20514
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-24,23.290,23.690,23.280,23.560,37108
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-27,23.880,24.600,23.780,24.080,11759
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-28,24.300,24.860,24.200,24.550,11978
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-29,24.830,24.830,23.990,23.990,17750
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-30,23.950,24.310,23.650,23.760,14260
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-31,24.350,24.890,23.900,24.860,35511
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-03,26.000,26.250,24.630,25.140,64460
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-04,25.420,25.480,24.260,24.550,67302
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-05,24.770,24.870,24.290,24.360,30945
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-06,23.940,25.340,23.940,24.920,42035
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-07,24.650,24.730,24.280,24.720,74134
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-10,23.930,24.100,23.610,23.700,81246
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-11,23.380,23.620,22.840,23.050,70735
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-12,23.400,24.130,23.140,24.080,22878
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-13,24.050,24.200,23.680,23.940,11702
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-14,24.090,24.540,24.090,24.460,8520
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-18,24.320,24.560,23.630,23.930,54165
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-19,23.710,23.790,23.420,23.550,59496
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-20,23.740,23.860,23.350,23.370,17691
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-21,23.580,24.500,23.570,24.340,56795
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-24,24.240,24.840,24.240,24.840,18451
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-25,24.910,26.040,24.800,25.620,31557
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-26,25.610,26.090,25.600,25.940,18653
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-27,25.490,25.830,25.280,25.830,10375
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-02-28,26.250,26.700,25.740,25.740,22077
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-03-03,25.970,28.800,25.580,28.340,84792
