Symbol,Settings,Date,Open,High,Low,Close,Volume
HXF,Ex:TSE | Src:Google,2024-08-07,68.820,68.820,68.560,68.560,301
HXF,Ex:TSE | Src:Google,2024-08-12,69.700,69.700,69.700,69.700,172
HXF,Ex:TSE | Src:Google,2024-08-19,72.520,72.520,72.520,72.520,1147
HXF,Ex:TSE | Src:Google,2024-08-21,72.570,72.570,72.570,72.570,100
HXF,Ex:TSE | Src:Google,2024-08-28,73.670,73.670,73.670,73.670,105
HXF,Ex:TSE | Src:Google,2024-08-30,74.400,74.400,74.400,74.400,170
HXF,Ex:TSE | Src:Google,2024-09-06,74.410,74.410,74.400,74.400,242
HXF,Ex:TSE | Src:Google,2024-09-09,75.620,75.630,75.620,75.630,247
HXF,Ex:TSE | Src:Google,2024-09-10,75.380,75.730,75.380,75.730,308
HXF,Ex:TSE | Src:Google,2024-09-13,77.140,77.140,77.140,77.140,100
HXF,Ex:TSE | Src:Google,2024-09-19,78.370,78.420,78.370,78.420,257
HXF,Ex:TSE | Src:Google,2024-09-23,78.340,78.340,78.340,78.340,250
HXF,Ex:TSE | Src:Google,2024-09-24,78.510,78.510,78.510,78.510,300
HXF,Ex:TSE | Src:Google,2024-09-30,78.710,78.710,78.710,78.710,101
HXF,Ex:TSE | Src:Google,2024-10-01,78.880,78.880,78.880,78.880,137
HXF,Ex:TSE | Src:Google,2024-10-02,78.880,78.880,78.880,78.880,309
HXF,Ex:TSE | Src:Google,2024-10-03,78.910,78.910,78.910,78.910,286
HXF,Ex:TSE | Src:Google,2024-10-04,79.350,79.350,79.350,79.350,100
HXF,Ex:TSE | Src:Google,2024-10-10,79.110,79.140,79.110,79.130,1453
HXF,Ex:TSE | Src:Google,2024-10-11,79.000,79.000,79.000,79.000,100
HXF,Ex:TSE | Src:Google,2024-10-15,80.060,80.060,80.060,80.060,231
HXF,Ex:TSE | Src:Google,2024-10-17,81.210,81.210,81.210,81.210,100
