Symbol,Settings,Date,Open,High,Low,Close,Volume
HNU,Ex:TSE | Src:Google,2024-05-07,4.150,4.280,4.110,4.240,2839816
HNU,Ex:TSE | Src:Google,2024-05-08,4.320,4.340,4.120,4.160,2735006
HNU,Ex:TSE | Src:Google,2024-05-09,4.260,4.530,4.250,4.500,5988405
HNU,Ex:TSE | Src:Google,2024-05-10,4.410,4.410,4.270,4.290,2493167
HNU,Ex:TSE | Src:Google,2024-05-13,4.330,4.630,4.300,4.580,3848994
HNU,Ex:TSE | Src:Google,2024-05-14,4.490,4.700,4.460,4.540,3773132
HNU,Ex:TSE | Src:Google,2024-05-15,4.550,4.800,4.460,4.750,3804755
HNU,Ex:TSE | Src:Google,2024-05-16,4.940,5.220,4.830,4.970,5666251
HNU,Ex:TSE | Src:Google,2024-05-17,5.160,5.430,5.150,5.380,4008120
HNU,Ex:TSE | Src:Google,2024-05-21,5.640,5.830,5.420,5.600,3614397
HNU,Ex:TSE | Src:Google,2024-05-22,5.670,6.420,5.600,6.190,5271727
HNU,Ex:TSE | Src:Google,2024-05-23,6.710,6.840,5.730,5.920,8653613
HNU,Ex:TSE | Src:Google,2024-05-24,5.640,5.640,5.220,5.270,4552345
HNU,Ex:TSE | Src:Google,2024-05-27,5.430,5.550,5.340,5.380,2104835
HNU,Ex:TSE | Src:Google,2024-05-28,5.220,5.520,5.150,5.470,3052813
HNU,Ex:TSE | Src:Google,2024-05-29,5.210,5.210,4.790,4.810,4325523
HNU,Ex:TSE | Src:Google,2024-05-30,4.600,4.700,4.460,4.470,3705766
HNU,Ex:TSE | Src:Google,2024-05-31,4.560,4.670,4.380,4.490,3809764
HNU,Ex:TSE | Src:Google,2024-06-03,4.990,5.210,4.690,5.180,6882140
HNU,Ex:TSE | Src:Google,2024-06-04,5.040,5.120,4.480,4.660,7840329
HNU,Ex:TSE | Src:Google,2024-06-05,4.770,5.210,4.730,5.130,7617048
HNU,Ex:TSE | Src:Google,2024-06-06,5.410,5.540,5.030,5.330,7525130
HNU,Ex:TSE | Src:Google,2024-06-07,5.400,5.880,5.350,5.830,5346480
HNU,Ex:TSE | Src:Google,2024-06-10,6.210,6.340,5.510,5.800,7046331
HNU,Ex:TSE | Src:Google,2024-06-11,6.130,6.540,6.000,6.540,6826479
HNU,Ex:TSE | Src:Google,2024-06-12,6.240,6.460,6.000,6.150,4441750
HNU,Ex:TSE | Src:Google,2024-06-13,6.050,6.090,5.630,5.760,5442026
HNU,Ex:TSE | Src:Google,2024-06-14,5.780,5.890,5.530,5.610,3389637
HNU,Ex:TSE | Src:Google,2024-06-17,5.310,5.340,5.100,5.220,3668875
HNU,Ex:TSE | Src:Google,2024-06-18,5.280,5.680,5.270,5.640,3542866
HNU,Ex:TSE | Src:Google,2024-06-19,5.530,5.690,5.480,5.500,1670131
HNU,Ex:TSE | Src:Google,2024-06-20,5.380,5.380,5.070,5.130,3931312
HNU,Ex:TSE | Src:Google,2024-06-21,5.180,5.270,5.040,5.090,3883988
HNU,Ex:TSE | Src:Google,2024-06-24,5.080,5.490,5.060,5.480,4291313
HNU,Ex:TSE | Src:Google,2024-06-25,5.210,5.370,5.060,5.090,4479359
HNU,Ex:TSE | Src:Google,2024-06-26,4.970,4.980,4.690,4.720,4593511
HNU,Ex:TSE | Src:Google,2024-06-27,4.640,4.800,4.500,4.550,4889405
HNU,Ex:TSE | Src:Google,2024-06-28,4.530,4.550,4.230,4.270,4263589
HNU,Ex:TSE | Src:Google,2024-07-02,3.760,3.780,3.650,3.770,5135993
HNU,Ex:TSE | Src:Google,2024-07-03,3.700,3.840,3.630,3.660,2923302
HNU,Ex:TSE | Src:Google,2024-07-04,3.540,3.540,3.410,3.520,2344185
HNU,Ex:TSE | Src:Google,2024-07-05,3.540,3.610,3.340,3.390,4247137
HNU,Ex:TSE | Src:Google,2024-07-08,3.500,3.550,3.430,3.500,3005708
HNU,Ex:TSE | Src:Google,2024-07-09,3.610,3.640,3.410,3.440,3338615
HNU,Ex:TSE | Src:Google,2024-07-10,3.400,3.440,3.290,3.350,3914518
HNU,Ex:TSE | Src:Google,2024-07-11,3.280,3.310,3.190,3.220,4369684
HNU,Ex:TSE | Src:Google,2024-07-12,3.180,3.410,3.180,3.310,3481046
HNU,Ex:TSE | Src:Google,2024-07-15,3.050,3.140,2.870,2.920,6308249
HNU,Ex:TSE | Src:Google,2024-07-16,2.980,3.050,2.910,2.960,3843879
HNU,Ex:TSE | Src:Google,2024-07-17,2.830,2.830,2.560,2.630,6482523
HNU,Ex:TSE | Src:Google,2024-07-18,2.680,2.860,2.680,2.780,4604036
HNU,Ex:TSE | Src:Google,2024-07-19,2.760,2.880,2.700,2.830,3039127
HNU,Ex:TSE | Src:Google,2024-07-22,3.010,3.210,3.010,3.130,4695561
HNU,Ex:TSE | Src:Google,2024-07-23,3.080,3.100,2.960,3.060,3435175
HNU,Ex:TSE | Src:Google,2024-07-24,2.850,2.930,2.800,2.830,4804533
